"Date","Prefecture","Guests_Total","Guests_Prefecture","Guests_OutsidePrefecture","Type_Ryokan","Type_Resort","Type_Business","Type_City","Type_Simple","Type_CompaniesGroups","Pref_Ryokan","Out_Ryokan","Pref_Resort","Out_Resort","Pref_Business","Out_Business","Pref_City","Out_City","Pref_Simple","Out_Simple","Pref_CompaniesGroups","Out_CompaniesGroups","Occupancy_Rate","Occupancy_Tourists","Occupancy_NonTourists","Occupancy_0to9","Occupancy_Tourists_0to9","Occupancy_NonTourists_0to9","Occupancy_10to19","Occupancy_Tourists_10to19","Occupancy_NonTourists_10to19","Occupancy_30to99","Occupancy_Tourists_30to99","Occupancy_NonTourists_30to99","Occupancy_over100","Occupancy_Tourists_over100","Occupancy_NonTourists_over100","Occupancy_Ryokan","Occupancy_Resort","Occupancy_Business","Occupancy_City","Occupancy_Simple","Occupancy_CompaniesGroups"
2020-01-01,"Kagoshima",583250,149020,416970,105230,68330,319470,62330,24690,3210,29910,74380,15930,52400,79880,223250,12370,49960,10170,14520,760,2450,31.4,21.3,45.3,14,8.4,23.7,43,19.5,55,44,29.6,62,45.7,42.6,67.2,21.7,26.8,56.5,52.6,5.8,22.3
2020-01-01,"Kanagawa",1881630,470390,1264090,160920,215180,1002940,290620,137970,73990,43940,116630,46760,142500,219030,693600,66130,221870,70780,40790,23770,48700,42.1,35.5,49.6,20.8,12.1,33.9,47.4,40,53.2,49.4,44.4,53.8,56,58.1,53.9,20.2,44.2,56.6,61.7,30.5,15.2
2020-01-01,"Kochi",192870,37750,134100,28370,12930,120980,21800,8780,NA,5290,17350,2100,10830,23510,82450,3100,18700,3740,4770,NA,NA,21.9,12.5,33.4,9.8,4.4,17,32.9,13,42.2,29.7,19.3,55.1,33.3,27.3,58.5,11.6,17.3,43.2,40.9,3.9,NA
2020-01-01,"Kumamoto",582140,119680,457060,145140,62280,294530,41310,38320,550,35890,109250,9510,52770,55770,233360,6580,34730,11900,26430,20,520,29.6,20.9,43.7,15.1,13.4,20.1,35.6,24.3,44,38.9,27.2,57.4,32,23.6,53.4,22.6,22.7,52.9,48.3,10.2,1.8
2020-01-01,"Kyoto",2248670,191440,1871050,193190,116130,939110,552450,435110,12580,21190,160870,8070,90890,109050,727700,28810,519870,20510,362860,3810,8770,32.2,31.4,40.5,19.7,20.8,13.1,29.5,26,53.8,47,45.7,48.5,47.2,48,NA,21.9,33.6,37.5,50.2,22.5,6.9
2020-01-01,"Mie",565440,85830,446140,173410,131880,228250,18370,7820,5720,24540,137320,19550,93630,36810,188360,2170,16200,540,7130,2210,3510,28.8,23.5,45.9,8,7.6,10,38.6,23.3,56.8,42.9,36.7,58.2,38.6,37.7,60.6,24.2,32.2,57.2,60.6,3.3,3.3
2020-01-01,"Miyagi",742170,209600,506740,163840,59310,423280,61240,32810,1690,90530,70910,26200,33110,67960,331970,9550,51690,13790,18940,1560,120,32.2,22,44.2,13.9,6.5,27.6,39.2,17.7,48.1,42.3,33.2,50.5,32,31.2,37.5,23.5,27.8,51.8,40.8,8.2,5.6
2020-01-01,"Miyazaki",359010,89610,243630,27260,71900,225000,17610,17200,50,6750,16950,18400,53490,51570,153720,4110,12160,8720,7300,50,0,32.6,24.2,41.2,21.6,6.7,31.6,37.1,16.5,46.8,39.7,35.2,50.1,38.4,39.8,8.4,15.3,33.6,46.7,49.7,9.1,2.3
2020-01-01,"Nagano",1693900,256150,1375940,626410,437610,349030,65550,177350,37940,94800,498620,31340,395310,99750,245570,13170,52380,10310,157180,6780,26880,24,21.7,36.9,14.8,14.3,19.8,28.5,22.6,44.4,35.9,32.9,50.3,50.5,48.2,69.4,20.2,35,49.1,49.9,11.9,10.4
2020-01-01,"Nagasaki",506850,101780,379140,83100,101440,225260,57740,34860,4450,20450,61930,10770,90260,50920,156970,6530,51210,9660,17740,3430,1020,26.7,22.5,36.2,14,13.2,17.5,34.6,17.2,48.3,36.4,28.6,56.9,36.9,36.3,48.6,19,30.6,45.3,46.6,8,6.4
2020-01-01,"Nara",149290,13700,133450,29340,18460,56210,32340,12740,210,3990,24360,1440,17020,4160,51330,2920,29410,1120,11180,60,150,15.7,15.7,16.3,4.7,4.1,13.4,17.8,17.9,17.4,29.3,29.1,40.9,56.4,56.4,NA,9.6,48.6,39.6,42.9,3.4,1.9
2020-01-01,"Niigata",957170,203590,696290,321190,263440,288960,44620,26190,12770,91230,228210,16730,206370,74800,199030,14560,30050,3490,22650,2790,9980,26.2,22.7,37.3,13,12.4,17.6,35,20.9,49.1,33.3,29.2,44.6,56.4,60.1,43.8,18.6,46.1,46.3,38.6,4.7,24.9
2020-01-01,"Oita",601220,94860,466790,160720,125510,248060,22620,39350,4960,13140,129840,21630,103880,48300,177940,5240,17380,6000,33350,570,4390,30.6,26.8,38.6,17.7,15.6,23.6,36.6,25.8,46.3,39.8,34.2,52.4,50.8,50.3,55.4,24.8,38.4,51.6,45.4,9.7,9.3
2020-01-01,"Okayama",410570,64620,328790,48250,21200,272400,49680,17740,1300,8800,38360,5890,15310,36740,224610,7930,36720,5250,12480,0,1300,28.4,13.8,46.7,10.7,7.7,22,44.2,19.6,54.9,36.5,22,49.5,35.7,26.4,52,14.4,22,52.2,41.7,4.8,20.8
2020-01-01,"Okinawa",2085670,252510,1724680,18700,928400,586330,331910,218550,1780,9500,9030,74890,774460,108120,474660,18050,313860,40210,152630,1740,40,36.1,35.5,44,20,18.8,32.1,44.9,42.2,51.1,48.7,47.8,58.4,46.1,46.1,NA,15.1,37.7,57.5,50.9,14.9,2.9
2020-01-01,"Osaka",4443350,441760,3711850,46820,302340,2915180,972490,181860,24650,11350,26700,26550,275790,275510,2401930,97690,852220,30000,131210,650,24000,57.4,57.9,56.7,51.1,48.3,55.4,57.1,61.4,52.9,61.4,65.4,55.6,62.7,59.7,67,31.8,64.3,58.4,62.4,35.5,35.7
2020-01-01,"Saga",221650,34840,184500,65090,28070,110990,11440,4940,1120,8690,55890,4040,24030,18670,90530,2510,8940,880,4060,50,1070,29,22.4,37.5,13.7,7.2,19.9,35.9,23.8,49.6,44.7,34.1,58.6,35.4,35.8,32.6,26.2,37.1,56.2,45.6,3.5,1.5
2020-01-01,"Saitama",396490,79350,283480,15560,13430,297410,44420,22880,2800,5690,9870,4880,8550,55410,210990,9050,33700,4310,17580,10,2790,42,18.7,51.2,21.3,13.6,34.9,55,33.1,56.3,44.8,20.2,52.8,48.5,59.5,46.8,12.2,21.2,56.5,53.7,19.2,11.2
2020-01-01,"Shiga",281450,46980,228360,52300,64830,118010,33510,9050,3760,8170,44130,10520,53110,19880,94390,5400,27950,2240,5800,780,2980,23.5,19.7,32.7,4.2,4.3,4.4,29.4,15.6,39.4,31.5,23.4,43.8,35.7,34.9,66.8,18.8,32.4,42.5,36.5,4.4,2.7
2020-01-01,"Shimane",229290,48150,177490,74610,2530,130030,14280,6560,1290,12650,61560,250,2280,29420,97370,4160,10120,1440,5120,250,1040,25.8,17.7,37.8,11.6,5.8,23.7,32.5,18,41.4,34.6,27.7,48.1,32.6,32.6,NA,19.3,20.2,44.6,37.3,4.2,52.6
2020-01-01,"Shizuoka",1719880,304960,1343000,481730,356720,703340,78770,44450,54870,70210,400850,56670,289960,143090,513370,16980,61790,11170,33190,6840,43830,31.9,25.8,46,16.9,10.8,32.8,38,26.9,48.8,41.2,36.2,56.5,35.2,32.3,51,27.3,29.9,56.5,50.9,8.6,10.6
2020-01-01,"Tochigi",632040,122170,466640,202380,152930,225200,17540,23230,10760,35890,141450,27200,120850,49680,170860,4780,12760,2050,12540,2570,8180,24.8,19.8,41.4,10.4,9.8,16.3,27.8,17.2,47,35.1,29.1,45.2,35.7,35.2,41.7,19.1,27.6,44.9,40.2,8,10.8
2020-01-01,"Tokushima",154620,19080,123460,24340,16850,93620,15530,3160,1120,6720,15910,820,9590,8860,84760,1470,10130,1140,2020,70,1050,21.8,13.7,32.1,11.5,3.6,21.2,31.1,14.1,45.7,31.7,20.9,38.9,34.2,34.2,NA,10.3,27,39.6,41.2,2.9,4.1
2020-01-01,"Tokyo",7048680,1181480,5191610,126820,42520,4264570,2115050,452030,47690,16310,94970,11710,30810,674410,3187420,372770,1504980,95290,342430,11000,31000,57.6,56.5,58.8,46.7,40,54.8,59.2,63.9,57.3,63.3,64,63,60.5,60.7,60.2,24.3,46.2,62.3,59.3,42,35.7
2020-01-01,"Tottori",205880,39170,158280,72800,16510,94710,14450,6740,670,12450,57890,2290,14220,16690,72050,2710,11740,4690,2060,340,330,23.5,16,42.1,11.6,7.4,24.5,29.9,12.1,53.9,32.3,26.3,48.9,24.9,23.7,33.6,19.6,20.1,45.7,46.2,4.3,2.4
2020-01-01,"Toyama",247940,60900,186880,57660,11230,146370,19410,11130,2150,30090,27410,3150,8080,22520,123860,1770,17630,2060,9070,1320,830,22.7,14.5,35,7.3,6,12.6,29.5,13.9,40.8,29.8,22.9,38.9,35.2,31.3,39.7,14.6,18.8,38.4,39.1,5.6,28.4
2020-01-01,"Wakayama",354950,42780,296830,130510,81100,97740,9390,32330,3880,16490,113880,9470,64540,10740,78910,1740,7640,3210,29120,1140,2740,24.4,20.8,45.2,11.5,8.5,30.1,29.4,19.1,53.6,36.8,35.7,44.2,26.9,25.6,65.9,20.8,29.1,53.8,59.5,9.7,19.1
2020-01-01,"Yamagata",398480,100650,269020,168250,20690,156590,36690,11430,4820,50020,106460,4860,15830,34550,106940,6280,30410,3190,6370,1760,3020,22.6,17.1,35.8,10.2,6.6,22.1,30.7,25.1,40,34.3,27.6,44.4,36.4,26.9,57.2,19.8,19.3,43.4,47.7,3.6,9.4
2020-01-01,"Yamaguchi",301520,60940,213430,63750,12370,200300,16130,6920,2040,16440,46100,3030,9340,34690,139680,3030,13100,1920,5000,1830,200,31.2,19.6,43.6,25,7.3,36.5,35.1,18.4,44.9,33,23.4,51.7,30.1,26.2,44.5,19,18,49.7,39.4,7.2,8.4
2020-01-01,"Yamanashi",597620,48150,518240,187720,184710,155330,7920,55340,6620,14430,170980,4600,168840,22360,115300,650,7270,5260,50070,850,5770,18.2,15.9,34.7,7.6,7.8,7.3,31.5,24.8,49.9,34.9,30.1,55.4,31.8,31.6,54.8,15.7,30.4,47.5,45.2,5.7,4.2
