"Prefecture","Date","NewlyConfirmedCases","Guests_Total","Guests_Prefecture","Guests_OutsidePrefecture","Month"
"Ibaraki",2020-12-01,82.769185586791,414510,102450,277440,12
"Ishikawa",2020-07-01,26.9309490466444,392370,118730,259740,7
"Ishikawa",2020-08-01,13.2447290393333,445230,112710,319370,8
"Ishikawa",2020-09-01,3.00213858224888,467380,77060,374850,9
"Ishikawa",2020-10-01,3.79682232460888,541510,89840,430640,10
"Ishikawa",2020-11-01,19.2490062038311,717430,109030,597000,11
"Ishikawa",2020-12-01,34.5245936958622,530840,107620,403130,12
"Iwate",2020-07-01,1.32173074031791,355780,151270,201250,7
"Iwate",2020-08-01,0.330432685079477,369880,141390,226290,8
"Iwate",2020-09-01,0.330432685079477,446990,191770,254790,9
"Iwate",2020-10-01,13.7955646020682,520290,174630,345010,10
"Iwate",2020-11-01,15.778160712545,467560,160100,306780,11
"Iwate",2020-12-01,9.1695070109555,360700,140720,219530,12
"Kagawa",2020-07-01,3.3675561224275,213610,52760,154490,7
"Kagawa",2020-08-01,1.68377806121375,243700,51970,182210,8
"Kagawa",2020-09-01,0.841889030606876,233140,38370,181610,9
"Kagawa",2020-10-01,4.84086192598954,277030,45260,212480,10
"Kagawa",2020-11-01,16.4168360968341,313820,56250,245800,11
"Kagawa",2020-12-01,35.6750476719664,225760,47790,169130,12
"Kagoshima",2020-07-01,6.92583563355026,334900,107190,207080,7
"Kagoshima",2020-08-01,3.46291781677513,408140,149590,240840,8
"Kagoshima",2020-09-01,3.33699353252876,428950,168070,243780,9
"Kagoshima",2020-10-01,10.0109805975863,575330,176750,347420,10
"Kagoshima",2020-11-01,24.3663490016723,643770,191330,445000,11
"Kagoshima",2020-12-01,38.1550581266496,534810,177230,350810,12
"Kanagawa",2020-07-01,26.7934362468317,1020630,423350,525880,7
"Kanagawa",2020-08-01,20.9584212419662,1418410,626120,689720,8
"Kanagawa",2020-09-01,19.6268686527297,1344690,581570,695750,9
"Kanagawa",2020-10-01,41.6245504521487,1567050,615850,847580,10
"Kanagawa",2020-11-01,94.2695930656205,1603270,632850,870610,11
"Kanagawa",2020-12-01,211.110626363421,1472200,585620,795580,12
"Kochi",2020-07-01,6.50733810827343,164040,36620,107410,7
"Kochi",2020-08-01,1.87989767572344,239470,58520,156450,8
"Kochi",2020-09-01,0.867645081103124,193440,36850,134580,9
"Kochi",2020-10-01,1.1568601081375,210760,39500,158040,10
"Kochi",2020-11-01,73.8944394072827,233920,43480,172890,11
"Kochi",2020-12-01,26.6077824871625,160490,34110,115090,12
"Kumamoto",2020-07-01,18.9265265336671,367760,133880,217450,7
"Kumamoto",2020-08-01,3.16400899498994,408670,152950,240990,8
"Kumamoto",2020-09-01,12.7135634162323,414280,133810,258520,9
"Kumamoto",2020-10-01,13.001200597595,486340,134790,312360,10
"Kumamoto",2020-11-01,49.0133757042077,583520,155220,418590,11
"Kumamoto",2020-12-01,84.2201667030048,479260,145850,330700,12
"Kyoto",2020-07-01,25.8331080370833,766590,148000,575900,7
"Kyoto",2020-08-01,12.0244196569006,972450,205290,741450,8
"Kyoto",2020-09-01,11.0547083942474,1124520,212400,891190,9
"Kyoto",2020-10-01,24.2427815663319,1361370,212460,1081350,10
"Kyoto",2020-11-01,82.6969764790715,2025370,239570,1662970,11
"Kyoto",2020-12-01,141.345113644342,1375160,219720,1096630,12
"Mie",2020-07-01,15.7604501952827,374180,86760,274280,7
"Mie",2020-08-01,7.28708987523824,513030,104580,373130,8
"Mie",2020-09-01,3.1633878528166,460250,97150,336460,9
"Mie",2020-10-01,16.5512971584869,577390,118230,417100,10
"Mie",2020-11-01,24.4597667905284,653010,117130,491250,11
"Mie",2020-12-01,50.6706947138659,529840,111690,390420,12
"Miyagi",2020-07-01,2.04170641478091,492040,180380,300550,7
"Miyagi",2020-08-01,8.64467184130641,594030,243510,343040,8
"Miyagi",2020-09-01,13.8575392833002,577650,207180,359420,9
"Miyagi",2020-10-01,21.0686725780583,730180,247740,468560,10
"Miyagi",2020-11-01,42.6151913382995,746140,247860,486070,11
"Miyagi",2020-12-01,52.9106045362373,610850,235490,364290,12
"Miyazaki",2020-07-01,20.2884133525808,228680,66230,155060,7
"Miyazaki",2020-08-01,0.654464946857446,237260,60680,167960,8
"Miyazaki",2020-09-01,0.186989984816413,237290,77640,147840,9
"Miyazaki",2020-10-01,12.6218239751079,339840,99940,203870,10
"Miyazaki",2020-11-01,23.8412230640927,384780,108850,264180,11
"Miyazaki",2020-12-01,99.3851769299236,313620,89550,203710,12
"Nagano",2020-07-01,7.37300727388671,751720,198760,529210,7
"Nagano",2020-08-01,2.5878767252715,1232790,217750,955410,8
"Nagano",2020-09-01,1.56249160771109,1078150,203650,846550,9
"Nagano",2020-10-01,18.4081042533463,1268470,253250,973750,10
"Nagano",2020-11-01,22.7049561745518,1125930,249700,841090,11
"Nagano",2020-12-01,53.9547883287736,865400,177460,661410,12
"Nagasaki",2020-07-01,11.963572825773,393640,168700,200180,7
"Nagasaki",2020-08-01,0.381005504005511,338080,104810,212940,8
"Nagasaki",2020-09-01,0.68580990720992,394220,136550,230400,9
"Nagasaki",2020-10-01,1.98122862082866,520280,142930,351800,10
"Nagasaki",2020-11-01,29.2612227076232,619170,141860,457290,11
"Nagasaki",2020-12-01,66.37115879776,504730,118110,363580,12
"Nara",2020-07-01,21.4424907113999,106820,21510,84610,7
"Nara",2020-08-01,3.92608984856618,190980,38760,150880,8
"Nara",2020-09-01,6.04013822856336,161130,35250,124790,9
"Nara",2020-10-01,36.3918328270942,170220,38860,128760,10
"Nara",2020-11-01,63.5724548556294,201880,31710,167640,11
"Nara",2020-12-01,75.9547382241843,136150,31630,102250,12
"Niigata",2020-07-01,1.45370494877507,526950,215050,290410,7
"Niigata",2020-08-01,1.27199183017819,667760,224260,419450,8
"Niigata",2020-09-01,0.635995915089094,619290,219940,379180,9
"Niigata",2020-10-01,6.72338538808471,749670,271000,465350,10
"Niigata",2020-11-01,9.49451044668719,695000,251540,434450,11
"Niigata",2020-12-01,16.853891749861,562770,220360,313220,12
"Oita",2020-07-01,7.02939532963415,325990,83110,218000,7
"Oita",2020-08-01,1.15673594031954,390160,86740,272760,8
"Oita",2020-09-01,0.088979687716888,435830,89360,300560,9
"Oita",2020-10-01,12.1012375294968,537140,94220,394220,10
"Oita",2020-11-01,35.0579969604539,610880,100790,479550,11
"Oita",2020-12-01,41.7314735392205,460350,77950,363080,12
"Okayama",2020-07-01,3.4949630169368,307340,68850,219740,7
"Okayama",2020-08-01,0.635447821261237,321250,82960,218360,8
"Okayama",2020-09-01,6.8310640785583,336240,71470,247170,9
"Okayama",2020-10-01,16.5745973378973,402990,86430,293870,10
"Okayama",2020-11-01,40.4568446202987,424140,84960,310270,11
"Okayama",2020-12-01,51.6301354774755,335620,80950,227530,12
"Okinawa",2020-07-01,117.957314580096,1186080,268210,858330,7
"Okinawa",2020-08-01,24.3955624608172,971850,209230,716190,8
"Okinawa",2020-09-01,57.7861367786955,1015980,250240,721220,9
"Okinawa",2020-10-01,67.1900128110775,1388860,289590,1060830,10
"Okinawa",2020-11-01,71.0060784474064,1479530,311550,1120610,11
"Okinawa",2020-12-01,148.622127729168,1275310,320880,915320,12
"Osaka",2020-07-01,50.9409421132344,1059480,326430,677060,7
"Osaka",2020-08-01,23.3658475041824,1048040,358040,631140,8
"Osaka",2020-09-01,24.4973655431258,1324680,403930,842740,9
"Osaka",2020-10-01,85.0788413481585,1809460,551610,1179450,10
"Osaka",2020-11-01,110.051444467641,2022580,544430,1404520,11
"Osaka",2020-12-01,155.278220484211,1373160,432590,872880,12
"Saga",2020-07-01,19.1017965547753,122690,27660,92200,7
"Saga",2020-08-01,0.985899177020662,138390,32190,102650,8
"Saga",2020-09-01,1.10913657414824,169190,34550,131150,9
"Saga",2020-10-01,6.77805684201705,206760,35100,147920,10
"Saga",2020-11-01,19.5947461432857,229580,33670,185640,11
"Saga",2020-12-01,59.5236628126225,194200,34790,152330,12
"Saitama",2020-07-01,21.9748351376797,234950,74420,146310,7
"Saitama",2020-08-01,9.88459127010871,298350,107030,158200,8
"Saitama",2020-09-01,16.379012807081,291570,84330,173090,9
"Saitama",2020-10-01,34.9909084906052,340210,99620,199520,10
"Saitama",2020-11-01,79.9072536697907,360920,107660,214770,11
"Saitama",2020-12-01,148.432250725517,343700,112120,185760,12
"Shiga",2020-07-01,19.9489250924937,194530,39470,142810,7
"Shiga",2020-08-01,3.67852519436054,305430,58030,230620,8
"Shiga",2020-09-01,3.60778432523822,261110,45390,201620,9
"Shiga",2020-10-01,16.2703998981331,289770,52610,228830,10
"Shiga",2020-11-01,27.801161565071,329380,54380,268300,11
"Shiga",2020-12-01,67.1330847970798,245700,56120,187160,12
"Shimane",2020-07-01,16.0923582158939,192270,44860,144730,7
"Shimane",2020-08-01,0.447009950441497,221480,54190,162720,8
"Shimane",2020-09-01,0.149003316813832,220350,55170,161760,9
"Shimane",2020-10-01,0.894019900882994,291760,65750,226000,10
"Shimane",2020-11-01,9.08920232564377,321420,70140,251280,11
"Shimane",2020-12-01,9.08920232564377,227120,54630,172500,12
"Shizuoka",2020-07-01,5.89012116584765,1049910,278690,747240,7
"Shizuoka",2020-08-01,1.73400763293646,1560170,359780,1146990,8
"Shizuoka",2020-09-01,3.16525202837607,1223100,310820,864610,9
"Shizuoka",2020-10-01,27.8542178497094,1454390,379400,1044220,10
"Shizuoka",2020-11-01,27.881741780391,1636660,385250,1212190,11
"Shizuoka",2020-12-01,52.5156597403613,1428300,361960,1012340,12
"Tochigi",2020-07-01,5.58674823319087,472030,107210,340180,7
"Tochigi",2020-08-01,6.56960208903001,713400,147560,532260,8
"Tochigi",2020-09-01,3.05201986813205,644440,121280,488720,9
"Tochigi",2020-10-01,7.70764339579111,811640,139480,629040,10
"Tochigi",2020-11-01,43.4524862581512,856820,130680,684270,11
"Tochigi",2020-12-01,118.614941654691,624500,129230,466110,12
"Tokushima",2020-07-01,14.5922710993817,120280,32960,74570,7
"Tokushima",2020-08-01,2.50153218846543,154310,31390,98890,8
"Tokushima",2020-09-01,2.22358416752483,127490,20030,93570,9
"Tokushima",2020-10-01,2.36255817799513,146480,20780,110970,10
"Tokushima",2020-11-01,2.36255817799513,171330,21860,128250,11
"Tokushima",2020-12-01,25.9881399579465,161560,33130,109350,12
