"Date","Prefecture","NewlyConfirmedCases","NumberOfDeaths","SevereCases"
2020-01-27,"Shimane",0,NA,NA
2020-01-27,"Shizuoka",0,NA,NA
2020-01-27,"Tochigi",0,NA,NA
2020-01-27,"Tokushima",0,NA,NA
2020-01-27,"Tokyo",0,NA,NA
2020-01-27,"Tottori",0,NA,NA
2020-01-27,"Toyama",0,NA,NA
2020-01-27,"Wakayama",0,NA,NA
2020-01-27,"Yamagata",0,NA,NA
2020-01-27,"Yamaguchi",0,NA,NA
2020-01-27,"Yamanashi",0,NA,NA
2020-01-28,"Aichi",1,NA,NA
2020-01-28,"Akita",0,NA,NA
2020-01-28,"Aomori",0,NA,NA
2020-01-28,"Chiba",0,NA,NA
2020-01-28,"Ehime",0,NA,NA
2020-01-28,"Fukui",0,NA,NA
2020-01-28,"Fukuoka",0,NA,NA
2020-01-28,"Fukushima",0,NA,NA
2020-01-28,"Gifu",0,NA,NA
2020-01-28,"Gunma",0,NA,NA
2020-01-28,"Hiroshima",0,NA,NA
2020-01-28,"Hokkaido",1,NA,NA
2020-01-28,"Hyogo",0,NA,NA
2020-01-28,"Ibaraki",0,NA,NA
2020-01-28,"Ishikawa",0,NA,NA
2020-01-28,"Iwate",0,NA,NA
2020-01-28,"Kagawa",0,NA,NA
2020-01-28,"Kagoshima",0,NA,NA
2020-01-28,"Kanagawa",0,NA,NA
2020-01-28,"Kochi",0,NA,NA
2020-01-28,"Kumamoto",0,NA,NA
2020-01-28,"Kyoto",0,NA,NA
2020-01-28,"Mie",0,NA,NA
2020-01-28,"Miyagi",0,NA,NA
2020-01-28,"Miyazaki",0,NA,NA
2020-01-28,"Nagano",0,NA,NA
2020-01-28,"Nagasaki",0,NA,NA
2020-01-28,"Nara",1,NA,NA
2020-01-28,"Niigata",0,NA,NA
2020-01-28,"Oita",0,NA,NA
2020-01-28,"Okayama",0,NA,NA
2020-01-28,"Okinawa",0,NA,NA
2020-01-28,"Osaka",0,NA,NA
2020-01-28,"Saga",0,NA,NA
2020-01-28,"Saitama",0,NA,NA
2020-01-28,"Shiga",0,NA,NA
2020-01-28,"Shimane",0,NA,NA
2020-01-28,"Shizuoka",0,NA,NA
2020-01-28,"Tochigi",0,NA,NA
2020-01-28,"Tokushima",0,NA,NA
2020-01-28,"Tokyo",0,NA,NA
2020-01-28,"Tottori",0,NA,NA
2020-01-28,"Toyama",0,NA,NA
2020-01-28,"Wakayama",0,NA,NA
2020-01-28,"Yamagata",0,NA,NA
2020-01-28,"Yamaguchi",0,NA,NA
2020-01-28,"Yamanashi",0,NA,NA
2020-01-29,"Aichi",0,NA,NA
2020-01-29,"Akita",0,NA,NA
2020-01-29,"Aomori",0,NA,NA
2020-01-29,"Chiba",0,NA,NA
2020-01-29,"Ehime",0,NA,NA
2020-01-29,"Fukui",0,NA,NA
2020-01-29,"Fukuoka",0,NA,NA
2020-01-29,"Fukushima",0,NA,NA
2020-01-29,"Gifu",0,NA,NA
2020-01-29,"Gunma",0,NA,NA
2020-01-29,"Hiroshima",0,NA,NA
2020-01-29,"Hokkaido",0,NA,NA
2020-01-29,"Hyogo",0,NA,NA
2020-01-29,"Ibaraki",0,NA,NA
2020-01-29,"Ishikawa",0,NA,NA
2020-01-29,"Iwate",0,NA,NA
2020-01-29,"Kagawa",0,NA,NA
2020-01-29,"Kagoshima",0,NA,NA
2020-01-29,"Kanagawa",0,NA,NA
2020-01-29,"Kochi",0,NA,NA
2020-01-29,"Kumamoto",0,NA,NA
2020-01-29,"Kyoto",0,NA,NA
